Results for UNet_multimodal_experiments:
========================================================================================================================
Modalities                     DiceMedpyCoefficient AbsoluteLesionCountDifferenceCC3D HausdorffDistance95MonaiMm LesionF1CC3DScore
----------------------------------------------------------------------------------------------------------------------------------
CBF_TMAX_F1                             0.044073 153.633333 98.761523 0.044793
CBF_TMAX_F1                             0.072495 246.433333 89.423827 0.031401
CBF_TMAX_F1                             0.133766 98.466667 60.305877 0.060000
CBF_TMAX_F1                             0.147049 14.733333 46.325866 0.144773
CBF_TMAX_F1                             0.154912 9.500000 47.164204 0.166720
CBF_TMAX_F1                             0.141451 8.366667 49.366878 0.179343
CBF_TMAX_F1                             0.152428 8.833333 51.574026 0.186860
CBF_TMAX_F1                             0.086667 9.100000 77.194433 0.113131
CBF_TMAX_F1                             0.157592 8.366667 53.420192 0.185606
CBF_TMAX_F1                             0.128710 8.666667 59.005548 0.136741
CBF_TMAX_F1                             0.033959 9.766667 130.362531 0.068005
CBF_TMAX_F1                             0.105659 12.133333 66.351884 0.325024
CBF_TMAX_F1                             0.128392 9.800000 52.353885 0.321681
CBF_TMAX_F1                             0.133569 9.400000 55.765636 0.153079
CBF_TMAX_F1                             0.143362 9.300000 54.196971 0.175036
CBF_TMAX_F1                             0.167734 9.666667 43.039722 0.229781
CBF_TMAX_F1                             0.165256 9.166667 40.770241 0.215666
CBF_TMAX_F1                             0.132208 9.600000 76.596374 0.137108
CBF_TMAX_F1                             0.164874 9.500000 38.616892 0.216535
CBF_TMAX_F1                             0.099700 10.000000 127.261961 0.108487
CBF_TMAX_F1                             0.168248 9.333333 40.249259 0.213401
CBF_TMAX_F1                             0.136155 9.766667 63.369625 0.136083
CBF_TMAX_F1                             0.129919 9.633333 51.512533 0.128295
CBF_TMAX_F1                             0.171777 9.433333 41.128391 0.186159
